"Site*L","Site","Sample_ID","Date_Analysis","Organic_Matter","ENR","Bray P","Olsen P","pH","K","Mg","Ca","Ca_Mg","Na","H","CEC","K_PCT","MG_PCT","CA_PCT","H_PCT","NA_PCT","NO3_N","S","Zinc","Manganese","Iron","Copper","Boron","Cobalt","Nickel","Sol__Salts","SAND","SILT","CLAY","TEXTURE"
"1*L",1,"SH001","""9/19/01""",5.30,135.00,12.50,12.60,6.90,202.70,2545.00,2314.00,0.90,29.20,0.50,33.60,1.50,62.20,34.30,1.50,0.40,3.20,0.00,0.80,14.00,21.00,2.60,0.40,0.24,3.91,0.30,53.50,22.50,24.00,"SANDY CLAY LOAM"
"2*L",2,"SH002","""9/19/01""",2.20,74.00,6.80,2.90,6.80,149.20,3152.00,662.20,0.21,23.40,0.90,30.60,1.20,84.60,10.80,3.00,0.30,2.90,0.00,0.40,10.00,10.00,1.90,0.10,0.19,3.07,0.20,70.80,10.00,19.20,"SANDY LOAM"
"3*L",3,"SH003","""9/19/01""",2.50,79.00,6.40,4.50,7.40,34.50,2684.00,636.00,0.23,17.00,0.00,25.40,0.30,86.90,12.50,0.00,0.30,6.00,0.00,0.70,11.00,6.00,1.00,0.40,0.39,7.87,0.30,44.80,19.00,36.20,"CLAY LOAM"
"4*L",4,"SH004","""9/19/01""",3.90,108.00,6.40,1.00,7.10,116.90,2940.00,1080.00,0.36,15.00,0.00,29.90,1.00,80.80,18.00,0.00,0.20,4.00,0.00,1.50,14.00,4.50,2.10,0.50,0.75,17.46,0.40,25.70,19.00,55.20,"CLAY"
"5*L",5,"SH005","""9/19/01""",3.90,108.00,1.00,4.60,7.30,99.90,3337.00,1216.00,0.36,16.30,0.00,33.80,0.80,81.10,17.90,0.00,0.20,3.20,0.00,0.80,7.20,2.70,1.60,0.50,0.23,6.91,0.20,27.40,25.90,46.70,"CLAY"
"6*L",6,"SH006","""9/19/01""",2.90,87.00,4.50,1.00,7.20,130.20,2448.00,442.20,0.18,13.60,0.00,22.70,1.50,88.60,9.70,0.00,0.30,3.20,0.00,0.60,8.00,6.00,1.40,0.30,0.42,18.09,0.20,38.50,20.50,41.00,"CLAY"
"7*L",7,"SH007","""9/19/01""",2.40,77.00,10.80,2.70,6.90,131.60,2226.00,578.90,0.26,15.90,0.30,21.90,1.50,83.50,13.20,1.50,0.30,4.60,0.00,1.30,23.80,18.50,3.00,0.30,0.62,10.16,0.20,51.60,19.20,29.20,"SANDY CLAY LOAM"
"8*L",8,"SH008","""9/19/01""",3.80,105.00,8.20,2.80,7.50,62.10,1927.00,859.90,0.44,18.90,0.00,20.40,0.80,77.80,21.10,0.00,0.40,3.00,5.30,1.30,14.20,11.50,1.40,1.70,0.39,16.94,0.40,52.80,24.00,23.20,"SANDY CLAY LOAM"
"9*L",9,"SH009","""9/19/01""",4.10,111.00,6.40,2.80,7.50,165.40,2874.00,768.80,0.26,19.70,0.00,28.00,1.50,84.50,13.70,0.00,0.30,3.30,0.00,0.90,13.00,10.50,2.90,0.80,0.26,11.86,0.30,29.60,24.00,46.40,"CLAY"
"10*L",10,"SH010","""9/19/01""",3.50,100.00,10.10,2.00,6.70,30.00,1301.00,639.50,0.49,13.70,0.70,14.70,0.50,72.80,21.70,4.50,0.40,3.00,0.00,1.40,11.20,17.60,1.50,0.20,0.65,20.90,0.20,54.70,20.00,25.30,"SANDY CLAY LOAM"
"11*L",11,"SH011","""9/19/01""",4.10,112.00,12.50,2.90,6.50,129.80,1426.00,638.80,0.44,13.00,1.20,16.50,2.00,70.90,19.30,7.50,0.30,2.90,0.50,1.80,21.60,31.90,1.80,0.30,0.65,14.09,0.20,43.60,33.60,22.80,"LOAM"
"12*L",12,"SH012","""9/19/01""",2.60,81.00,8.60,2.90,6.70,39.70,1739.00,592.40,0.34,13.60,0.80,18.20,0.60,78.40,16.20,4.50,0.30,2.70,0.00,1.00,20.50,16.50,2.30,0.20,0.87,17.90,0.20,51.20,25.60,23.20,"SANDY CLAY LOAM"
"13*L",13,"SH013","""9/19/01""",3.50,100.00,8.00,2.40,7.20,76.30,3038.00,577.80,0.19,15.00,0.00,28.10,0.70,88.80,10.30,0.00,0.20,4.10,0.00,1.10,16.90,14.00,1.60,0.20,0.81,31.68,0.20,33.50,20.50,46.00,"CLAY"
"14*L",14,"SH014","""9/19/01""",3.10,91.00,10.70,2.50,6.80,158.10,2416.00,713.90,0.29,14.20,0.70,24.60,1.60,80.60,14.50,3.00,0.30,3.00,0.00,1.00,14.00,10.00,2.90,0.40,0.39,6.81,0.20,22.90,35.70,41.40,"CLAY"
"15*L",15,"SH015","""9/19/01""",4.40,117.00,8.00,1.00,7.60,108.90,3130.00,1433.00,0.45,15.90,0.00,33.20,0.80,77.40,21.50,0.00,0.20,2.90,0.00,1.00,7.00,5.00,2.40,0.70,0.29,12.48,0.20,30.80,26.00,43.20,"CLAY"
"16*L",16,"SH016","""9/19/01""",2.70,84.00,8.80,2.10,7.70,207.00,2297.00,591.70,0.25,18.80,0.00,22.50,2.40,84.10,13.10,0.00,0.40,2.70,0.00,0.50,9.00,4.30,2.40,0.40,0.26,3.96,0.20,41.00,17.50,41.50,"CLAY"
"17*L",17,"SH017","""9/19/01""",4.00,111.00,12.90,14.30,8.00,154.00,471.20,3722.00,7.89,14.90,0.00,22.90,1.70,16.90,81.10,0.00,0.30,2.60,0.00,0.40,2.20,2.80,0.70,1.30,0.18,7.92,0.30,61.00,22.50,16.50,"SANDY LOAM"
"18*L",18,"SH018","""9/19/01""",2.90,88.00,4.50,2.10,7.20,152.90,2148.00,605.90,0.28,13.90,0.00,21.10,1.80,83.60,14.30,0.00,0.30,3.40,0.00,1.00,14.00,18.00,1.20,0.30,0.56,28.71,0.40,54.70,20.00,25.30,"SANDY CLAY LOAM"
"19*L",19,"SH019","""9/19/01""",5.50,139.00,8.60,1.00,7.20,288.30,2131.00,702.20,0.32,13.80,0.00,21.80,3.40,80.30,16.10,0.00,0.30,3.00,0.00,2.70,31.00,30.00,2.30,0.70,1.03,37.09,0.40,25.60,28.00,46.40,"CLAY"
"20*L",20,"SH020","""9/19/01""",3.70,103.00,8.80,1.00,7.90,209.40,3411.00,787.90,0.23,15.00,0.00,32.60,1.60,86.10,12.10,0.00,0.20,3.20,0.00,0.90,13.00,8.00,2.30,0.70,0.33,11.18,0.30,28.00,13.30,58.70,"CLAY"
"21*L",21,"SH021","""9/19/01""",3.70,104.00,10.40,1.00,6.90,242.40,1717.00,738.20,0.42,11.10,0.30,18.80,3.30,75.30,19.60,1.50,0.30,2.90,0.00,1.30,27.00,19.00,1.70,0.40,0.86,31.39,0.30,44.70,26.70,28.70,"CLAY LOAM"
"22*L",22,"SH022","""9/19/01""",4.20,113.00,8.30,1.00,7.20,163.10,1588.00,775.50,0.48,59.30,0.00,17.60,2.40,74.20,22.00,0.00,1.50,3.00,0.00,1.20,28.00,19.00,2.10,1.00,0.77,22.52,0.30,54.80,22.00,23.20,"SANDY CLAY LOAM"
"23*L",23,"SH023","""9/19/01""",3.60,103.00,6.20,1.00,6.90,149.20,1777.00,818.40,0.46,135.10,0.30,20.00,1.90,73.20,20.50,1.50,2.90,3.40,0.00,1.90,18.50,20.60,1.80,1.20,0.63,23.62,0.30,48.80,24.00,27.20,"SANDY CLAY LOAM"
"24*L",24,"SH024","""9/19/01""",2.90,87.00,6.50,1.00,6.90,179.40,2403.00,761.20,0.31,44.90,0.40,24.60,1.90,80.40,15.50,1.50,0.80,2.70,0.00,1.40,15.50,15.20,2.10,0.90,0.57,16.99,0.20,40.80,18.00,41.20,"CLAY"
"25*L",25,"SH025","""9/19/01""",3.20,94.00,4.30,1.00,6.50,148.40,1910.00,960.10,0.50,19.20,1.70,22.70,1.70,69.30,21.10,7.50,0.40,2.60,0.00,1.00,23.90,16.30,3.10,0.40,0.50,9.01,0.20,42.80,20.00,37.20,"CLAY LOAM"
"26*L",26,"SH026","""9/19/01""",3.20,94.00,4.80,2.30,6.70,134.60,1590.00,665.40,0.41,12.10,0.80,17.60,2.00,74.40,18.90,4.50,0.30,3.40,0.00,1.40,18.50,16.20,2.90,0.20,0.98,30.36,0.20,46.80,24.00,29.20,"SANDY CLAY LOAM"
"27*L",27,"SH027","""9/19/01""",2.20,74.00,1.00,1.00,7.00,129.70,2287.00,815.40,0.35,14.10,0.00,23.30,1.40,80.80,17.50,0.00,0.30,2.60,0.00,0.60,21.00,12.70,2.20,0.10,0.66,12.27,0.20,34.80,16.00,49.20,"CLAY"
"28*L",28,"SH028","""9/19/01""",2.70,83.00,2.40,1.00,6.50,96.20,2748.00,911.10,0.33,14.60,2.20,29.70,0.80,76.10,15.30,7.50,0.20,2.40,0.00,0.60,16.00,8.00,2.40,0.10,0.87,17.83,0.10,36.80,20.00,43.20,"CLAY"
"29*L",29,"SH029","""9/19/01""",2.70,83.00,1.00,1.00,7.30,148.10,2723.00,512.60,0.18,15.10,0.00,25.40,1.50,88.20,10.10,0.00,0.30,2.30,52.00,0.40,24.40,6.50,1.30,0.40,0.06,6.62,0.80,56.00,15.00,29.00,"SANDY CLAY LOAM"
"30*L",30,"SH030","""9/19/01""",2.70,83.00,2.40,1.00,6.80,217.60,2148.00,681.70,0.31,11.20,0.70,22.30,2.50,79.10,15.20,3.00,0.20,2.40,0.00,0.90,14.80,11.20,1.90,0.30,1.12,22.59,0.20,42.80,24.00,33.20,"CLAY LOAM"
"31*L",31,"SH031","""9/19/01""",2.10,71.00,2.90,1.00,6.80,182.50,2093.00,481.90,0.23,12.70,0.60,20.80,2.20,82.90,11.60,3.00,0.30,3.20,0.20,1.20,16.90,10.90,1.80,0.30,0.97,16.43,0.20,46.80,20.00,33.20,"SANDY CLAY LOAM"
"32*L",32,"SH032","""9/19/01""",2.60,82.00,2.70,1.00,7.50,64.80,2135.00,1635.00,0.76,18.30,0.00,26.00,0.60,67.60,31.40,0.00,0.30,3.40,0.00,0.60,7.60,4.50,1.00,0.10,0.49,9.08,0.40,46.00,25.00,29.00,"SANDY CLAY LOAM"
"33*L",33,"SH033","""9/19/01""",2.90,87.00,1.00,1.00,7.50,39.90,3060.00,431.30,0.14,15.00,0.00,27.50,0.40,91.60,7.80,0.00,0.20,2.60,0.00,0.80,8.10,5.10,0.80,1.00,0.45,9.63,0.30,42.80,24.00,33.20,"CLAY LOAM"
"34*L",34,"SH034","""9/19/01""",4.60,121.00,4.90,20.50,6.10,236.10,1243.00,2280.00,1.83,21.00,3.60,25.90,2.30,39.40,43.90,14.00,0.40,2.40,0.00,2.40,19.80,31.50,2.70,0.70,0.40,1.52,0.20,28.00,26.70,45.30,"CLAY"
"35*L",35,"SH035","""9/19/01""",5.50,139.00,10.90,66.10,6.40,289.20,1000.00,2329.00,2.32,20.00,2.00,22.70,3.30,36.20,51.20,9.00,0.40,3.00,0.00,2.80,23.50,48.10,2.90,0.90,0.35,2.51,0.20,46.00,25.00,29.00,"SANDY CLAY LOAM"
"36*L",36,"SH036","""9/19/01""",5.80,145.00,46.00,18.40,6.00,412.10,815.10,1868.00,2.29,18.10,3.00,20.20,5.20,33.20,46.20,15.00,0.40,3.60,2.00,2.40,22.10,55.20,1.50,0.50,0.35,1.84,0.30,61.00,22.50,16.50,"SANDY LOAM"
"37*L",37,"SH037","""9/19/01""",4.90,128.00,35.00,25.00,6.20,297.30,781.50,1919.00,2.45,12.70,2.30,19.10,4.00,33.60,50.10,12.00,0.30,3.30,0.00,3.20,32.10,50.40,1.40,0.50,0.45,4.10,0.30,61.00,20.00,19.00,"SANDY LOAM"
"38*L",38,"SH038","""9/19/01""",2.70,84.00,31.00,18.00,6.30,318.40,222.30,1433.00,6.44,11.40,1.20,11.00,7.40,16.60,65.00,10.50,0.50,2.60,0.00,1.10,30.70,18.00,0.70,0.30,0.13,0.34,0.10,71.00,15.00,14.00,"LOAMY SAND"
"39*L",39,"SH039","""9/19/01""",3.00,89.00,6.10,6.30,6.20,318.50,274.10,1385.00,5.05,12.50,1.40,11.40,7.10,19.80,60.60,12.00,0.50,2.40,0.00,1.60,33.30,48.90,1.70,0.20,0.21,0.40,0.10,56.50,27.00,16.50,"SANDY LOAM"
"40*L",40,"SH040","""9/19/01""",4.30,116.00,4.90,10.50,5.80,144.50,600.40,2330.00,3.88,16.40,4.00,21.00,1.80,23.50,55.40,19.00,0.30,2.30,0.00,1.40,35.10,61.30,3.50,0.30,0.26,0.48,0.20,46.50,29.50,24.00,"LOAM"
"41*L",41,"SH041","""9/19/01""",2.20,75.00,20.00,10.30,6.30,342.10,130.20,1111.00,8.53,11.20,0.90,8.40,10.40,12.70,65.80,10.50,0.60,3.20,0.00,0.70,16.30,16.20,0.60,0.20,0.07,0.15,0.10,80.80,6.00,13.20,"LOAMY SAND"
"42*L",42,"SH042","""9/19/01""",3.30,96.00,2.90,10.40,7.30,151.60,2851.00,2741.00,0.96,33.10,0.00,37.70,1.00,62.30,36.30,0.00,0.40,3.30,0.00,0.70,7.30,6.70,2.60,0.30,0.16,5.54,0.30,31.00,25.00,44.00,"CLAY"
"43*L",43,"SH043","""9/19/01""",2.80,87.00,2.10,10.00,7.40,124.70,3260.00,1421.00,0.43,34.90,0.00,34.40,0.90,78.00,20.60,0.00,0.40,3.30,0.00,0.60,7.00,5.60,1.90,0.10,0.20,8.89,0.30,31.30,20.00,48.70,"CLAY"
"44*L",44,"SH044","""9/19/01""",2.40,79.00,2.00,6.90,7.50,46.20,1829.00,834.30,0.45,14.40,0.00,19.40,0.60,77.60,21.50,0.00,0.30,2.60,0.00,0.30,6.00,6.00,0.80,1.10,0.28,12.35,0.20,50.80,16.00,33.20,"SANDY CLAY LOAM"
"45*L",45,"SH045","""9/19/01""",2.60,82.00,4.90,2.90,7.20,60.20,1124.00,760.30,0.67,9.90,0.00,13.20,1.20,69.80,28.70,0.00,0.30,5.80,0.00,0.70,9.90,10.00,1.50,0.20,0.66,13.49,0.30,60.80,26.00,13.20,"SANDY LOAM"
"46*L",46,"SH046","""9/19/01""",2.00,69.00,4.90,1.00,7.20,91.90,1728.00,503.80,0.29,11.30,0.00,17.00,1.40,83.50,14.80,0.00,0.30,7.80,0.00,0.60,10.50,11.90,0.70,0.60,0.51,13.11,0.20,60.80,14.00,25.20,"SANDY CLAY LOAM"
"47*L",47,"SH047","""9/19/01""",1.30,57.00,2.70,1.00,7.40,35.90,1212.00,982.80,0.81,24.30,0.00,15.10,0.60,66.10,32.50,0.00,0.70,5.70,0.00,0.30,5.60,6.20,0.40,1.40,0.12,0.55,0.30,58.50,20.00,21.50,"SANDY CLAY LOAM"
"48*L",48,"SH048","""9/19/01""",0.80,46.00,1.00,1.00,7.40,27.10,1483.00,775.60,0.52,18.10,0.00,16.20,0.40,75.20,23.90,0.00,0.50,2.70,0.00,0.20,6.40,5.00,0.50,0.90,0.51,5.80,0.20,58.50,17.50,24.00,"SANDY CLAY LOAM"
"49*L",49,"SH049","""9/19/01""",1.20,54.00,1.00,1.00,7.50,30.20,1272.00,1675.00,1.31,11.20,0.00,18.90,0.40,55.20,44.10,0.00,0.30,3.60,0.00,0.30,7.40,3.80,0.50,0.50,0.33,4.90,0.20,61.00,20.00,19.00,"SANDY LOAM"
