Site,Late_DateSampled,Late_SurveyedBy,Late_Notes,Quality Control Check
1,6/1/2012,Stella Copeland,Added rebar & PVC at quad 5,"Yes, 6/21 - 6/23"
2,6/1/2012,Stella Copeland,New rebar at quad 5 needs cap. ,"Yes, 6/21 - 6/23"
3,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
4,6/2/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
5,6/2/2012,Stella Copeland,Quad 4 replaced with taller PVC,"Yes, 6/21 - 6/23"
6,6/2/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
7,6/2/2012,Stella Copeland,"Added rebar and PVC at quad 4, rebar at quad 5","Yes, 6/21 - 6/23"
8,6/2/2012,Stella Copeland,Added rebar at quad 5,"Yes, 6/21 - 6/23"
9,6/2/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
10,6/2/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
11,6/2/2012,Stella Copeland,Added PVC and rebar at quad 5,"Yes, 6/21 - 6/23"
12,6/2/2012,Stella Copeland,Added rebar at quad 5,"Yes, 6/21 - 6/23"
13,5/31/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
14,5/31/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
15,5/31/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
16,5/31/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
17,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
18,6/1/2012,Stella Copeland,"Confusing set of rebar to E of the fire. Marked quads 4 & 5 with rebar and PVC, but still hard to find. ","Yes, 6/21 - 6/23"
19,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
20,6/1/2012,Stella Copeland,replaced marker for quad #3,"Yes, 6/21 - 6/23"
21,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
22,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
23,6/1/2012,Stella Copeland,Quad #5 needs rebar,"Yes, 6/21 - 6/23"
24,6/1/2012,Stella Copeland,Quad #5 needs rebar,"Yes, 6/21 - 6/23"
25,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
26,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
27,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
28,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
29,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
30,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
31,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
32,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
33,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
34,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
35,6/1/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
36,6/1/2012,Stella Copeland,"Replaced PVC, added rebar, still need rebar caps. ","Yes, 6/21 - 6/23"
37,6/1/2012,Stella Copeland,"Replaced PVC, added rebar, still need rebar caps. ","Yes, 6/21 - 6/23"
38,5/31/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
39,5/31/2012,Stella Copeland,Quad 2 needs new PVC,"Yes, 6/21 - 6/23"
40,5/31/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
41,5/31/2012,Stella Copeland,"Quad 4 hard to find, needs to be remarked","Yes, 6/21 - 6/23"
42,5/31/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
43,5/31/2012,Stella Copeland,Needs rebar caps for PVC,"Yes, 6/21 - 6/23"
44,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
45,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
46,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
47,6/3/2012,Stella Copeland,Lots of gopher disturbance and bare ground in quad4,"Yes, 6/21 - 6/23"
48,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
49,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
50,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
51,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
52,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
53,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
54,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
55,6/2/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
56,6/2/2012,Stella Copeland,added rebar to quad 5,"Yes, 6/21 - 6/23"
57,6/2/2012,Stella Copeland,replaced quad 4 PVC,"Yes, 6/21 - 6/23"
58,6/2/2012,Stella Copeland,"replaced quad 2, 4, and 5 PVC with rebar & PVC","Yes, 6/21 - 6/23"
59,6/2/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
60,6/2/2012,Stella Copeland,"Rebar added to Quad 5, Quads 2-4 need taller (new) PVC.","Yes, 6/21 - 6/23"
61,6/3/2012,Stella Copeland,Needs tag!!! - Decided quad 1 is next to the road. ,"Yes, 6/21 - 6/23"
62,6/3/2012,Stella Copeland,Needs one more orange cap. ,"Yes, 6/21 - 6/23"
63,6/3/2012,Stella Copeland,Needs tag!!! - Decided quad 1 is WITHOUT the wooden stake - with north plot as plot 1. ,"Yes, 6/21 - 6/23"
64,6/3/2012,Stella Copeland,Gopher disturbance quad 4; quad 5 needs rebar cap. ,"Yes, 6/21 - 6/23"
65,6/3/2012,Stella Copeland,Could use taller PVC. ,"Yes, 6/21 - 6/23"
66,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
67,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
68,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
69,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
70,6/3/2012,Stella Copeland,Sampled downhill to uphill. Needs taller PVC for quads.,"Yes, 6/21 - 6/23"
71,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
72,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
73,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
74,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
75,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
76,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
77,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
78,6/3/2012,Stella Copeland,,"Yes, 6/21 - 6/23"
79,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
80,6/3/2012,Stella Copeland,Needs taller PVC to mark quads. ,"Yes, 6/21 - 6/23"
