Site/Project: McLaughlin 80 sites,,,
Experiment: Temporal stability,,,
"Date: Data collected 2000-2010, analyzed 2010-2011",,,
Data description: CV of cover for 41 generalists species,,,
Protocols: None,,,
CVS file & path,,,
Names of data takers: Calculated by Barbara Fernandez-Going,,,
"Column info: Species, site (1-80), soil type, and CV of cover (cover was averaged over quadrats, for a single value per site per year, then the CV of years was calculated)",,,
"Definitions & Abbreviations: S=Serpentine, N=Non-serpentine, CV=coefficient of variation",,,
species,site,soil,cv_cover
Achyrachaena mollis,1,S,0.690065559
Achyrachaena mollis,2,S,2.249828526
Achyrachaena mollis,4,S,1.104921029
Achyrachaena mollis,5,S,0.577350269
Achyrachaena mollis,7,S,0.388349888
Achyrachaena mollis,8,S,0.740408103
Achyrachaena mollis,9,S,2.415229458
Achyrachaena mollis,10,S,2.108185107
Achyrachaena mollis,11,S,0.579055887
Achyrachaena mollis,12,S,2.108185107
Achyrachaena mollis,14,S,0.879078893
Achyrachaena mollis,15,S,1.165343165
Achyrachaena mollis,16,S,0.633286617
Achyrachaena mollis,18,S,1.414213562
Achyrachaena mollis,19,S,0.8232573
Achyrachaena mollis,21,S,1.070436048
Achyrachaena mollis,22,S,1.290994449
Achyrachaena mollis,24,S,3.16227766
Achyrachaena mollis,25,N,2.108185107
Achyrachaena mollis,32,S,1.165343165
Achyrachaena mollis,34,N,1.748014747
Achyrachaena mollis,35,N,3.16227766
Achyrachaena mollis,36,N,1.610152972
Achyrachaena mollis,37,N,3.16227766
Achyrachaena mollis,42,N,2.108185107
Achyrachaena mollis,44,S,2.108185107
Achyrachaena mollis,47,S,0.790569415
Achyrachaena mollis,48,S,1.748014747
Achyrachaena mollis,50,N,3.16227766
Achyrachaena mollis,55,S,3.16227766
Achyrachaena mollis,61,N,0.860662966
Achyrachaena mollis,62,N,3.16227766
Achyrachaena mollis,63,N,1.165343165
Achyrachaena mollis,64,N,0.392351817
Achyrachaena mollis,65,N,2.538591035
Achyrachaena mollis,66,N,3.16227766
Achyrachaena mollis,67,N,1.610152972
Achyrachaena mollis,68,N,0.964212225
Achyrachaena mollis,71,N,0.566557724
Achyrachaena mollis,73,N,1.414213562
Achyrachaena mollis,75,N,3.16227766
Achyrachaena mollis,76,N,1.943650632
Achyrachaena mollis,77,N,0.570104286
Agoseris heterophylla,1,S,0.860662966
Agoseris heterophylla,2,S,0.24254364
Agoseris heterophylla,3,S,0.606070998
Agoseris heterophylla,4,S,1.075389504
Agoseris heterophylla,5,S,3.16227766
Agoseris heterophylla,6,S,1.656431155
Agoseris heterophylla,7,S,0.523383645
Agoseris heterophylla,8,S,1.610152972
Agoseris heterophylla,9,S,0.507718207
Agoseris heterophylla,10,S,0.834197937
Agoseris heterophylla,11,S,0.595766961
Agoseris heterophylla,12,S,0.903507903
Agoseris heterophylla,13,S,1.513357008
Agoseris heterophylla,14,S,0.711805217
Agoseris heterophylla,15,S,1.054092553
Agoseris heterophylla,16,S,0.451456843
Agoseris heterophylla,17,N,3.16227766
Agoseris heterophylla,18,S,0.851725413
Agoseris heterophylla,19,S,0.721221221
Agoseris heterophylla,20,S,0.647883544
Agoseris heterophylla,21,S,0.602338602
Agoseris heterophylla,22,S,3.16227766
Agoseris heterophylla,23,S,1.414213562
Agoseris heterophylla,24,S,3.16227766
Agoseris heterophylla,25,N,1.054092553
Agoseris heterophylla,26,S,0.437003687
Agoseris heterophylla,27,S,0.909915964
Agoseris heterophylla,28,S,0.953462589
Agoseris heterophylla,29,S,1.414213562
Agoseris heterophylla,30,S,0.819849764
Agoseris heterophylla,31,S,0.444444444
Agoseris heterophylla,32,S,3.16227766
Agoseris heterophylla,33,S,0.647689072
Agoseris heterophylla,37,N,3.16227766
Agoseris heterophylla,38,N,2.108185107
Agoseris heterophylla,39,N,1.748014747
Agoseris heterophylla,40,N,1.054092553
Agoseris heterophylla,41,N,0.964212225
Agoseris heterophylla,42,N,1.699673171
Agoseris heterophylla,43,N,0.909212113
Agoseris heterophylla,44,S,3.16227766
Agoseris heterophylla,45,S,2.249828526
Agoseris heterophylla,46,S,1.748014747
Agoseris heterophylla,47,S,3.16227766
Agoseris heterophylla,48,S,0.814884543
Agoseris heterophylla,49,S,1.788093653
Agoseris heterophylla,52,N,1.290994449
Agoseris heterophylla,53,N,1.610152972
Agoseris heterophylla,54,N,3.16227766
Agoseris heterophylla,55,S,1.054092553
Agoseris heterophylla,56,N,0.860662966
Agoseris heterophylla,57,N,1.355261854
Agoseris heterophylla,61,N,3.16227766
Agoseris heterophylla,63,N,1.176103718
Agoseris heterophylla,68,N,1.610152972
Agoseris heterophylla,69,N,3.16227766
Agoseris heterophylla,71,N,3.16227766
Agoseris heterophylla,75,N,1.513357008
Agoseris heterophylla,78,N,3.16227766
Agoseris heterophylla,79,N,3.16227766
Astragalus gambelianus,1,S,0.682059887
Astragalus gambelianus,2,S,0.690065559
Astragalus gambelianus,3,S,1.355261854
Astragalus gambelianus,4,S,0.438228132
Astragalus gambelianus,6,S,0.729756383
Astragalus gambelianus,7,S,0.814884543
Astragalus gambelianus,9,S,2.415229458
Astragalus gambelianus,10,S,0.647883544
Astragalus gambelianus,11,S,3.16227766
Astragalus gambelianus,12,S,0.666666667
Astragalus gambelianus,13,S,3.16227766
Astragalus gambelianus,17,N,3.16227766
Astragalus gambelianus,18,S,2.108185107
Astragalus gambelianus,19,S,3.16227766
Astragalus gambelianus,21,S,2.108185107
Astragalus gambelianus,26,S,1.41911553
Astragalus gambelianus,27,S,3.16227766
Astragalus gambelianus,28,S,2.108185107
Astragalus gambelianus,29,S,0.677202072
Astragalus gambelianus,30,S,2.108185107
Astragalus gambelianus,31,S,0.94607702
Astragalus gambelianus,36,N,3.16227766
Astragalus gambelianus,38,N,3.16227766
Astragalus gambelianus,40,N,3.16227766
Astragalus gambelianus,42,N,0.860662966
Astragalus gambelianus,46,S,2.108185107
Astragalus gambelianus,51,N,3.16227766
Astragalus gambelianus,55,S,0.437003687
Astragalus gambelianus,56,N,2.108185107
Astragalus gambelianus,57,N,1.748014747
Astragalus gambelianus,58,N,1.610152972
Astragalus gambelianus,59,N,1.748014747
Astragalus gambelianus,60,N,2.249828526
Astragalus gambelianus,71,N,3.16227766
Astragalus gambelianus,75,N,2.249828526
Athysanus pusillus,1,S,0.860662966
Athysanus pusillus,2,S,0.816496581
Athysanus pusillus,3,S,1.450119529
Athysanus pusillus,4,S,1.317397886
Athysanus pusillus,6,S,1.355261854
Athysanus pusillus,7,S,1.090874225
Athysanus pusillus,8,S,0.682059887
Athysanus pusillus,10,S,2.108185107
Athysanus pusillus,11,S,0.671854812
Athysanus pusillus,12,S,1.513357008
Athysanus pusillus,13,S,0.573562067
Athysanus pusillus,14,S,0.652533485
Athysanus pusillus,15,S,1.355261854
Athysanus pusillus,16,S,1.165343165
Athysanus pusillus,17,N,3.16227766
Athysanus pusillus,18,S,2.108185107
Athysanus pusillus,19,S,0.616581084
Athysanus pusillus,20,S,1.245745745
Athysanus pusillus,21,S,1.41911553
Athysanus pusillus,22,S,1.247219129
Athysanus pusillus,23,S,0.790569415
Athysanus pusillus,24,S,0.904026296
Athysanus pusillus,25,N,2.108185107
Athysanus pusillus,26,S,1.154700538
Athysanus pusillus,27,S,1.645701472
Athysanus pusillus,28,S,1.748014747
Athysanus pusillus,30,S,2.415229458
Athysanus pusillus,31,S,1.039400649
Athysanus pusillus,32,S,1.748014747
Athysanus pusillus,33,S,1.610152972
Athysanus pusillus,34,N,2.108185107
Athysanus pusillus,35,N,3.16227766
Athysanus pusillus,36,N,1.513357008
Athysanus pusillus,38,N,0.579055887
Athysanus pusillus,39,N,2.249828526
Athysanus pusillus,40,N,1.414213562
Athysanus pusillus,41,N,0.899626504
Athysanus pusillus,42,N,2.415229458
Athysanus pusillus,43,N,1.176103718
Athysanus pusillus,45,S,1.290994449
Athysanus pusillus,46,S,3.16227766
Athysanus pusillus,47,S,1.258762842
Athysanus pusillus,48,S,1.317397886
Athysanus pusillus,49,S,3.16227766
Athysanus pusillus,50,N,1.610152972
Athysanus pusillus,51,N,0.577350269
Athysanus pusillus,52,N,0.682929219
Athysanus pusillus,54,N,2.108185107
Athysanus pusillus,55,S,0.972883373
Athysanus pusillus,56,N,1.536590743
Athysanus pusillus,57,N,1.610152972
Athysanus pusillus,60,N,3.16227766
Athysanus pusillus,61,N,1.027402334
Athysanus pusillus,62,N,1.414213562
Athysanus pusillus,63,N,3.16227766
Athysanus pusillus,64,N,1.414213562
Athysanus pusillus,66,N,1.610152972
Athysanus pusillus,67,N,2.108185107
Athysanus pusillus,68,N,1.610152972
Athysanus pusillus,71,N,1.405456738
Athysanus pusillus,72,N,0.860662966
Athysanus pusillus,73,N,1.245745745
Athysanus pusillus,75,N,1.748014747
Athysanus pusillus,76,N,1.104921029
Athysanus pusillus,77,N,1.169712671
Athysanus pusillus,78,N,0.581518917
Athysanus pusillus,79,N,3.16227766
Athysanus pusillus,80,N,3.16227766
Avena fatua,1,S,0.087841046
Avena fatua,3,S,0.598436899
Avena fatua,4,S,2.337702421
Avena fatua,5,S,0.282065671
Avena fatua,8,S,2.108185107
Avena fatua,9,S,3.16227766
Avena fatua,11,S,3.16227766
Avena fatua,15,S,0.47485492
Avena fatua,16,S,1.355261854
Avena fatua,17,N,0.986013297
Avena fatua,19,S,1.610152972
Avena fatua,20,S,1.165343165
Avena fatua,23,S,3.16227766
Avena fatua,25,N,0.102775722
Avena fatua,32,S,0.131761569
Avena fatua,34,N,0.437003687
Avena fatua,35,N,0.112336254
Avena fatua,36,N,0.087841046
Avena fatua,37,N,0.064536279
Avena fatua,40,N,2.108185107
Avena fatua,42,N,0.364423543
Avena fatua,43,N,0.460586915
Avena fatua,44,S,0.59149424
Avena fatua,45,S,0.361484732
Avena fatua,46,S,1.885618083
Avena fatua,47,S,0.274980666
Avena fatua,48,S,0.721221221
Avena fatua,49,S,0.94607702
Avena fatua,50,N,0
Avena fatua,51,N,0.064536279
Avena fatua,52,N,0
Avena fatua,53,N,0
Avena fatua,54,N,0.087841046
Avena fatua,56,N,2.160246899
Avena fatua,58,N,0.087841046
Avena fatua,59,N,0.064536279
Avena fatua,60,N,0
Avena fatua,61,N,0.15713484
Avena fatua,62,N,0.112336254
Avena fatua,63,N,0
Avena fatua,64,N,0.871571677
Avena fatua,65,N,0.287479787
Avena fatua,66,N,0.338287988
Avena fatua,67,N,0.064536279
Avena fatua,68,N,0.064536279
Avena fatua,69,N,0.117121395
Avena fatua,70,N,0.087841046
Avena fatua,71,N,0.131761569
Avena fatua,72,N,0.405301064
Avena fatua,73,N,0.424918293
Avena fatua,74,N,0.187812057
Avena fatua,75,N,0.117121395
Avena fatua,76,N,0.102775722
Avena fatua,77,N,0.191458745
Avena fatua,78,N,0.268415838
Avena fatua,79,N,0.143606076
Avena fatua,80,N,0
Brodiaea elegans,1,S,3.16227766
Brodiaea elegans,2,S,3.16227766
Brodiaea elegans,3,S,3.16227766
Brodiaea elegans,5,S,3.16227766
Brodiaea elegans,7,S,1.943650632
Brodiaea elegans,9,S,0.986013297
Brodiaea elegans,14,S,3.16227766
Brodiaea elegans,15,S,1.748014747
Brodiaea elegans,16,S,2.108185107
Brodiaea elegans,19,S,1.414213562
Brodiaea elegans,20,S,1.513357008
Brodiaea elegans,21,S,1.414213562
Brodiaea elegans,22,S,1.610152972
Brodiaea elegans,23,S,1.791612833
Brodiaea elegans,25,N,3.16227766
Brodiaea elegans,26,S,0.942809042
Brodiaea elegans,27,S,1.097134314
Brodiaea elegans,29,S,0.860662966
Brodiaea elegans,30,S,1.414213562
Brodiaea elegans,31,S,1.290994449
Brodiaea elegans,34,N,1.513357008
Brodiaea elegans,35,N,3.16227766
Brodiaea elegans,36,N,3.16227766
Brodiaea elegans,40,N,2.249828526
Brodiaea elegans,42,N,2.160246899
Brodiaea elegans,43,N,1.169712671
Brodiaea elegans,44,S,3.16227766
Brodiaea elegans,46,S,1.290994449
Brodiaea elegans,47,S,1.610152972
Brodiaea elegans,48,S,2.108185107
Brodiaea elegans,49,S,1.943650632
Brodiaea elegans,51,N,2.108185107
Brodiaea elegans,52,N,3.16227766
Brodiaea elegans,55,S,1.699673171
Brodiaea elegans,56,N,3.16227766
Brodiaea elegans,59,N,1.405456738
Brodiaea elegans,61,N,2.415229458
Brodiaea elegans,62,N,3.16227766
Brodiaea elegans,63,N,1.610152972
Brodiaea elegans,66,N,2.108185107
Brodiaea elegans,68,N,1.791612833
Brodiaea elegans,69,N,2.108185107
Brodiaea elegans,70,N,3.16227766
Brodiaea elegans,71,N,1.748014747
Brodiaea elegans,72,N,1.405456738
Brodiaea elegans,74,N,1.41911553
Brodiaea elegans,77,N,2.108185107
Brodiaea elegans,78,N,1.699673171
Brodiaea elegans,79,N,1.536590743
Brodiaea elegans,80,N,1.610152972
Bromus hordeaceus,1,S,0.218794425
Bromus hordeaceus,2,S,0.218794425
Bromus hordeaceus,3,S,0.298761164
Bromus hordeaceus,4,S,0.484278001
Bromus hordeaceus,5,S,0.623147003
Bromus hordeaceus,6,S,0.494265468
Bromus hordeaceus,7,S,0.20184751
Bromus hordeaceus,8,S,0.102775722
Bromus hordeaceus,9,S,0.166435666
Bromus hordeaceus,10,S,0.087841046
Bromus hordeaceus,11,S,0.064536279
Bromus hordeaceus,12,S,0.087841046
Bromus hordeaceus,13,S,0.630718014
Bromus hordeaceus,14,S,0.579213123
Bromus hordeaceus,15,S,0.351364184
Bromus hordeaceus,16,S,0.152001282
Bromus hordeaceus,17,N,0.55608286
Bromus hordeaceus,18,S,0.386199677
Bromus hordeaceus,19,S,0.143606076
Bromus hordeaceus,20,S,0.495876271
Bromus hordeaceus,21,S,0
Bromus hordeaceus,22,S,0.219566314
Bromus hordeaceus,23,S,0.20184751
Bromus hordeaceus,24,S,0.112260387
Bromus hordeaceus,25,N,0.219566314
Bromus hordeaceus,26,S,0.152001282
Bromus hordeaceus,27,S,0.444444444
Bromus hordeaceus,28,S,0.112260387
Bromus hordeaceus,29,S,0.525477216
Bromus hordeaceus,30,S,0.964212225
Bromus hordeaceus,31,S,0.15713484
Bromus hordeaceus,32,S,0.087841046
Bromus hordeaceus,33,S,0.451456843
Bromus hordeaceus,34,N,0.351364184
Bromus hordeaceus,35,N,0.269651583
Bromus hordeaceus,36,N,0.064536279
Bromus hordeaceus,37,N,0.102775722
Bromus hordeaceus,38,N,0
Bromus hordeaceus,39,N,0.152001282
Bromus hordeaceus,40,N,0.219566314
Bromus hordeaceus,41,N,0.158910432
Bromus hordeaceus,42,N,0.510520324
Bromus hordeaceus,43,N,0.570491539
Bromus hordeaceus,44,S,0.064536279
Bromus hordeaceus,45,S,0.102775722
Bromus hordeaceus,46,S,0.219566314
Bromus hordeaceus,47,S,0.112260387
Bromus hordeaceus,48,S,0.246360443
Bromus hordeaceus,49,S,0.536558062
Bromus hordeaceus,50,N,0.143606076
Bromus hordeaceus,51,N,0
Bromus hordeaceus,52,N,0.064536279
Bromus hordeaceus,53,N,0.152001282
Bromus hordeaceus,54,N,0.187812057
Bromus hordeaceus,55,S,1.42964882
Bromus hordeaceus,56,N,0.087841046
Bromus hordeaceus,57,N,0.064536279
Bromus hordeaceus,58,N,0.351364184
Bromus hordeaceus,59,N,0.102775722
Bromus hordeaceus,60,N,0
Bromus hordeaceus,61,N,0.064536279
Bromus hordeaceus,62,N,0
Bromus hordeaceus,63,N,0.064536279
Bromus hordeaceus,64,N,0.064536279
Bromus hordeaceus,65,N,0.064536279
Bromus hordeaceus,66,N,0.087841046
Bromus hordeaceus,67,N,0.210019953
Bromus hordeaceus,68,N,0.064536279
Bromus hordeaceus,69,N,0.143606076
Bromus hordeaceus,70,N,0.064536279
Bromus hordeaceus,71,N,0
Bromus hordeaceus,72,N,0
Bromus hordeaceus,73,N,0.064536279
Bromus hordeaceus,74,N,0
Bromus hordeaceus,75,N,0.152001282
Bromus hordeaceus,76,N,0.191458745
Bromus hordeaceus,77,N,0
Bromus hordeaceus,78,N,0
Bromus hordeaceus,79,N,0.064536279
Bromus hordeaceus,80,N,0.424918293
Bromus madritensis,1,S,1.054092553
Bromus madritensis,2,S,2.108185107
Bromus madritensis,3,S,0.630115263
Bromus madritensis,4,S,0.729756383
Bromus madritensis,5,S,3.16227766
Bromus madritensis,7,S,0.690065559
Bromus madritensis,9,S,3.16227766
Bromus madritensis,10,S,1.165343165
Bromus madritensis,12,S,3.16227766
Bromus madritensis,13,S,1.165343165
Bromus madritensis,14,S,1.610152972
Bromus madritensis,16,S,0.986013297
Bromus madritensis,17,N,0.064536279
Bromus madritensis,18,S,0.166435666
Bromus madritensis,21,S,0.623609564
Bromus madritensis,22,S,1.610152972
Bromus madritensis,23,S,0.287479787
Bromus madritensis,25,N,0.630115263
Bromus madritensis,26,S,1.02131479
Bromus madritensis,27,S,0.471404521
Bromus madritensis,28,S,0.064536279
Bromus madritensis,29,S,0.473537584
Bromus madritensis,30,S,0.707106781
Bromus madritensis,31,S,0.178905886
Bromus madritensis,32,S,0.407682457
Bromus madritensis,35,N,1.610152972
Bromus madritensis,36,N,1.000459031
Bromus madritensis,37,N,1.245745745
Bromus madritensis,38,N,0.514558543
Bromus madritensis,39,N,3.16227766
Bromus madritensis,40,N,0.690065559
Bromus madritensis,41,N,0.412470999
Bromus madritensis,42,N,0.527046277
Bromus madritensis,44,S,0.78173596
Bromus madritensis,45,S,0.152001282
Bromus madritensis,46,S,0.320783525
Bromus madritensis,47,S,0.390739468
Bromus madritensis,48,S,0.32433617
Bromus madritensis,49,S,0.064536279
Bromus madritensis,51,N,0.657342198
Bromus madritensis,52,N,1.645701472
Bromus madritensis,53,N,0.740408103
Bromus madritensis,54,N,0.765780486
Bromus madritensis,55,S,0.313378867
Bromus madritensis,56,N,0.298761164
Bromus madritensis,57,N,0.632455532
Bromus madritensis,59,N,3.16227766
Bromus madritensis,61,N,1.610152972
Bromus madritensis,63,N,1.610152972
Bromus madritensis,75,N,0.972883373
Bromus madritensis,76,N,2.249828526
Calochortus luteus,1,S,1.054092553
Calochortus luteus,2,S,1.330243333
Calochortus luteus,3,S,1.405456738
Calochortus luteus,4,S,3.16227766
Calochortus luteus,5,S,1.290994449
Calochortus luteus,7,S,1.290994449
Calochortus luteus,8,S,1.405456738
Calochortus luteus,10,S,0.803902048
Calochortus luteus,11,S,0.740408103
Calochortus luteus,12,S,0.704280555
Calochortus luteus,15,S,2.160246899
Calochortus luteus,19,S,1.222783261
Calochortus luteus,23,S,1.748014747
Calochortus luteus,25,N,3.16227766
Calochortus luteus,39,N,1.699673171
Calochortus luteus,40,N,3.16227766
Calochortus luteus,45,S,1.176103718
Calochortus luteus,46,S,1.104921029
Calochortus luteus,47,S,2.415229458
Calochortus luteus,48,S,1.245745745
Calochortus luteus,49,S,3.16227766
Calochortus luteus,52,N,1.054092553
Calochortus luteus,55,S,0.986013297
Calochortus luteus,56,N,1.610152972
Calochortus luteus,57,N,0.783156008
Calochortus luteus,58,N,0.652533485
Calochortus luteus,59,N,1.088380909
Calochortus luteus,60,N,1.154700538
Calochortus luteus,61,N,1.41911553
Calochortus luteus,63,N,1.405456738
Calochortus luteus,64,N,2.249828526
Calochortus luteus,65,N,3.16227766
Calochortus luteus,66,N,3.16227766
Calochortus luteus,71,N,3.16227766
Calochortus luteus,77,N,3.16227766
Calochortus luteus,79,N,3.16227766
Calochortus superbus,4,S,3.16227766
Calochortus superbus,5,S,2.249828526
Calochortus superbus,8,S,3.16227766
Calochortus superbus,10,S,3.16227766
Calochortus superbus,14,S,1.610152972
Calochortus superbus,15,S,1.610152972
Calochortus superbus,20,S,3.16227766
Calochortus superbus,22,S,3.16227766
Calochortus superbus,23,S,3.16227766
Calochortus superbus,24,S,3.16227766
Calochortus superbus,32,S,2.108185107
Calochortus superbus,42,N,2.108185107
Calochortus superbus,43,N,1.791612833
Calochortus superbus,44,S,3.16227766
Calochortus superbus,45,S,1.41911553
Calochortus superbus,46,S,3.16227766
Calochortus superbus,55,S,2.249828526
Calochortus superbus,56,N,3.16227766
Calochortus superbus,57,N,1.097134314
Calochortus superbus,58,N,3.16227766
Calochortus superbus,59,N,3.16227766
Calochortus superbus,60,N,1.512118176
Calochortus superbus,61,N,1.656431155
Calochortus superbus,63,N,1.791612833
Calochortus superbus,65,N,3.16227766
Calochortus superbus,69,N,3.16227766
Calochortus superbus,70,N,2.108185107
Cerastium glomeratum,2,S,3.16227766
Cerastium glomeratum,5,S,3.16227766
Cerastium glomeratum,8,S,2.108185107
Cerastium glomeratum,9,S,3.16227766
Cerastium glomeratum,11,S,1.405456738
