Species,Species_Name,Category for Missing_ID Issues Species
Achillea millefolium,Achillea millefolium,
Achyrachaena mollis,Achyrachaena mollis,
Adenostoma fasciculatum,Adenostoma fasciculatum,
Aegilops triuncialis,Aegilops triuncialis,
Agoseris grandiflora,Agoseris grandiflora,
Agoseris heterophylla,Agoseris heterophylla,
Aira caryophyllea,Aira caryophyllea,
Allium amplectens,Allium amplectens,
Allium falcifolium,Allium falcifolium,
Allium fimbriatum,Allium fimbriatum,
Allium serra,Allium serra,
Allium sp.,Missing Core_Community_Data,Genus
Allophyllum gilioides,Allophyllum gilioides,
Amsinckia menziesii,Navarretia jepsonii,Mis-Ided
Anagallis arvensis,Anagallis arvensis,
Ancistrocarphus filagineus,Ancistrocarphus filagineus,
Anthriscus caucalis,Anthriscus caucalis,
Antirrhinum vexillo-calyculatum,Antirrhinum vexillo-calyculatum,
Aphanes occidentalis,Aphanes occidentalis,
Apocynum cannabinum,Apocynum cannabinum,
Asclepias fascicularis,Asclepias eriocarpa,
Asclepias sp.,Asclepias fascicularis,
Astragalus breweri,Astragalus breweri,
Astragalus gambelianus,Astragalus gambelianus,
Astragalus rattanii var. jepsonianus,Astragalus rattanii var. jepsonianus,
Athysanus pusillus,Athysanus pusillus,
Atriplex triangularis,Atriplex triangularis,
Avena barbata,Missing Core_Community_Data,Merged with Avena fatua
Avena fatua,Avena fatua,
Avena spp,Missing Core_Community_Data,Merged with Avena fatua
Baccharis pilularis,Missing Core_Community_Data,Doesn't exist
Bellardia trixago,Bellardia trixago,
Brassica nigra,Brassica nigra,
Briza minor,Briza minor,
Brodiaea elegans,Brodiaea elegans,
Bromus carinatus,Bromus carinatus,
Bromus diandrus,Bromus diandrus,
Bromus hordeaceus,Bromus hordeaceus,
Missing Seedbank Data,Bromus japonicus,
Bromus laevipes,Bromus laevipes,
Bromus madritensis,Bromus madritensis,
Bromus sp.,Missing Core_Community_Data,Genus
Bromus tectorum,Bromus tectorum,
Calandrinia ciliata,Calandrinia ciliata,
Calochortus luteus,Calochortus luteus,
Calochortus sp.,Missing Core_Community_Data,Genus
Calochortus superbus,Calochortus superbus,
Calochortus vestae,Calochortus vestae,
Calycadenia ,Missing Core_Community_Data,Change to Calycadenia pauciflora
Calycadenia pauciflora,Calycadenia pauciflora,
Camissonia graciliflora,Camissonia graciliflora,
Camissonia gracilis,Missing Core_Community_Data,Change to graciliflora
Camissonia ovata,Camissonia ovata,
Capsella bursa-pastoris,Capsella bursa-pastoris,
Cardamine oligosperma,Cardamine oligosperma,
Carduus pycnocephalus,Carduus pycnocephalus,
Carduus pynceph,Missing Core_Community_Data,Change to pycnocephalus
Carex sp.,Missing Core_Community_Data,Genus
Castilleja attenuata,Castilleja attenuata,
Castilleja densiflora,Castilleja densiflora,
Castilleja exserta,Castilleja exserta,
Castilleja rubicundula,Castilleja rubicundula,
Centaurea melitensis,Centaurea melitensis,
Centaurea solstitialis,Centaurea solstitialis,
Missing Seedbank Data,Centaurea sp.,
Centaurium trichanthum,Centaurium trichanthum,
Cerastium glomeratum,Cerastium glomeratum,
Cerastium vulgare,Cerastium vulgare,
Cercocarpus betuloides,Cercocarpus betuloides,
Chaenactis glabriuscula,Chaenactis glabriuscula,
Chamomilla suaveolens,Chamomilla suaveolens,
Chlorogalum pomeridianum,Chlorogalum pomeridianum,
Chorizanthe membranacea,Chorizanthe membranacea,
Chorizanthe polygonoides,Chorizanthe polygonoides,
Cirsium vulgare,Cirsium vulgare,
Clarkia gracilis,Clarkia gracilis,
Clarkia purpurea,Clarkia purpurea,
Claytonia exigua,Claytonia exigua,
Claytonia parviflora,Claytonia parviflora,
Col mul,Missing Core_Community_Data,No idea what this is?
Collinsia heterophylla,Collinsia heterophylla,
Collinsia sparsiflora,Collinsia sparsiflora,
Convolvulus arvensis,Convolvulus arvensis,
Crassula connata,Crassula connata,
Cryptantha flaccida,Missing Core_Community_Data,Merge with Cryptantha hispidula
Cryptantha hispidula,Cryptantha hispidula,
Cuscuta californica,Cuscuta californica,
Cynosurus echinatus,Cynosurus echinatus,
Cynosurus sp.,Missing Core_Community_Data,Change to echinatus
Dactylis glomerata,Dactylis glomerata,
Daucus pusillus,Daucus pusillus,
Delphinium hesperium,Delphinium hesperium,
Delphinium variegatum,Delphinium variegatum,
Dichelostemma capitatum,Dichelostemma capitatum,
Dodecatheon hendersonii,Dodecatheon hendersonii,
Elymus elymoides,Elymus elymoides,
Elymus glaucus,Elymus glaucus,
Elytrigia repens,Elytrigia repens,
Epilobium brachycarpum,Epilobium brachycarpum,
Epilobium spp. ,Missing Core_Community_Data,Genus
Eremocarpus,Missing Core_Community_Data,Change to setigerus
Eremocarpus setigerus,Eremocarpus setigerus,
Eriodictyon californicum,Eriodictyon californicum,
Eriodium cicutarium,Missing Core_Community_Data,Change to Erodium cicutarium
Eriogonum covilleanum,Eriogonum covilleanum,
Eriogonum nudum,Eriogonum nudum,
Eriogonum sp.,Missing Core_Community_Data,Genus
Eriogonum vimineum,Eriogonum vimineum,
Eriophyllum lanatum,Eriophyllum lanatum,
Erodium botrys,Erodium botrys,
Erodium brachycarpum,Erodium brachycarpum,
Erodium cicutarium,Erodium cicutarium,
Eschscholzia californica,Eschscholzia californica,
Euphorbia crenulata,Euphorbia crenulata,
Evax sparsiflora,Missing Core_Community_Data,Changed to Hesperevax sparsiflora
Filago californica,Filago californica,
Filago gallica,Filago gallica,
Fritillaria pluriflora,Fritillaria pluriflora,
Galium aparine,Galium aparine,
Galium murale,Galium murale,
Galium porrigens,Galium porrigens,
Gallium murale,Missing Core_Community_Data,Correct spelling
Gastridium ventricosum,Gastridium ventricosum,
Geranium dissectum,Geranium dissectum,
Geranium molle,Geranium molle,
Gil mil,Missing Core_Community_Data,No idea what this is?
Gilia capitata,Gilia capitata,
Gilia tricolor,Gilia tricolor,
Githopsis specularioides,Githopsis specularioides,
Gnaphalium spp.,Missing Core_Community_Data,Change to G. californicum
Missing Seedbank Data,Gnaphalium californicum,
Grindelia camporum,Grindelia camporum,
Helianthella californica,Helianthella californica,
Helianthella sp.,Missing Core_Community_Data,Change to Helianthella californica
Helianthus exilis,Helianthus exilis,
Hemizonia congesta,Hemizonia congesta,
Hesperevax sparsiflora,Hesperevax sparsiflora,
Hesperolinon californicum,Hesperolinon californicum,
Hesperolinon disjunctum,Hesperolinon disjunctum,
Hesperolinon micranthum,Hesperolinon micranthum,
Hesperolinon sp.,Missing Core_Community_Data,Genus
Hieracium albiflorum,Hieracium albiflorum,
Holocarpha virgata,Holocarpha virgata,
Holodiscus discolor,Holodiscus discolor,
Hordeum brachyantherum,Hordeum brachyantherum,
Hordeum depressum,Hordeum depressum,
Hordeum marinum,Hordeum marinum,
Hordeum murinum,Hordeum murinum,
Hypochaeris glabra,Hypochaeris glabra,
Hypochaeris radicata,Hypochaeris radicata,
Iris douglasiana,Iris douglasiana,
Juncus bufonius,Juncus bufonius,
Juncus sp.,Juncus sp.,
Lactuca saligna,Missing Core_Community_Data,Merge with serriola and S. olerecea
Lactuca serrida,Missing Core_Community_Data,Merge with serriola and S. olerecea
Lactuca serriola,Lactuca serriola,
Lagophylla minor,Lagophylla minor,
Lasthenia californica,Lasthenia californica,
Lathyrus vestitus,Lathyrus vestitus,
Layia platyglossa,Layia platyglossa,
Layia septentrionalis,Layia septentrionalis,
Layia septentrionalis  ,Missing Core_Community_Data,Removed space
Lepidium nitidum,Lepidium nitidum,
Lessingia ramulosa,Lessingia ramulosa,
Linanthus bicolor,Linanthus bicolor,
Linanthus ciliatus,Linanthus ciliatus,
Linanthus dichotomus,Linanthus dichotomus,
Linanthus jepsonii,Linanthus jepsonii,
Linanthus latisectus,Linanthus latisectus,
Linanthus nanus,Missing Core_Community_Data,Removed species
Lithophragma heterophyllum,Lithophragma heterophyllum,
Lolium multiflorum,Lolium multiflorum,
Lomatium dasycarpum,Lomatium dasycarpum,
Lomatium macrocarpum,Lomatium macrocarpum,
Lomatium marginatum,Lomatium marginatum,
Lomatium utriculatum,Lomatium utriculatum,
Lotus humistratus,Lotus humistratus,
Lotus micranthus,Lotus micranthus,
Lotus purshianus,Lotus purshianus,
Lotus wrangelianus,Lotus wrangelianus,
Lupinus albifrons,Lupinus albifrons,
Lupinus bicolor,Lupinus bicolor,
Lupinus microcarpus,Lupinus microcarpus,
Lupinus nanus,Missing Core_Community_Data,Merge with bicolor
Lupinus nanus/bicolor,Missing Core_Community_Data,Merge with bicolor
Lupinus succulentus,Lupinus succulentus,
Madia elegans,Madia elegans,
Madia exigua,Madia exigua,
Madia gracilis,Madia gracilis,
Medicago polymorpha,Medicago polymorpha,
Melica californica,Melica californica,
Melica imperfecta,Melica imperfecta,
Melica torreyana,Melica torreyana,
Melilotus indica,Melilotus indica,
Micropus californicus,Micropus californicus,
Microseris douglasii,Microseris douglasii,
Mimulus androsaceus,Mimulus androsaceus,
Mimulus douglasii,Mimulus douglasii,
Mimulus guttatus,Mimulus guttatus,
Minuartia californica,Minuartia californica,
Minuartia douglasii,Minuartia douglasii,
Minuartia sp.,Minuartia sp.,
Nassella pulchra,Nassella pulchra,
Navarretia jepsonii,Navarretia jepsonii,
Navarretia pubescens,Navarretia pubescens,
Navarretia tagetina,Navarretia tagetina,
Navarretia viscidula,Navarretia viscidula,
Nemophila heterophylla,Nemophila heterophylla,
Nemophila menziesii,Nemophila menziesii,
Nemophila pedunculata,Nemophila pedunculata,
Missing Seedbank Data,Nemophila sp,
Pectocarya pusilla,Pectocarya pusilla,
Perideridia kelloggii,Perideridia kelloggii,
Petrorhagia prolifera,Petrorhagia prolifera,
Phacelia imbricata,Phacelia imbricata,
Phalaris paradoxa,Phalaris paradoxa,
Phlox gracilis,Phlox gracilis,
Missing Seedbank Data,Pinus sabiniana,
Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,
Plantago erecta,Plantago erecta,
Plectritis ciliosa,Plectritis ciliosa,
Poa annua,Poa annua,
Poa bulbosa,Poa bulbosa,
Poa secunda,Poa secunda,
Polypogon monspeliensis,Polypogon monspeliensis,
Quercus douglasii,Quercus douglasii,
Quercus durata,Quercus durata,
Quercus lobata,Quercus lobata,
Missing Seedbank Data,Quercus sp.,
Ranunculus californicus,Ranunculus californicus,
Ranunculus occidentalis,Ranunculus occidentalis,
Rigiopappus leptocladus,Rigiopappus leptocladus,
Rumex crispus,Rumex crispus,
Rumex sp.,Missing Core_Community_Data,Change to Rumex crispus
Sagina apetala,Sagina apetala,
Salvia columbariae,Salvia columbariae,
Sanicula bipinnata,Sanicula bipinnata,
Sanicula bipinnatifida,Sanicula bipinnatifida,
Sanicula crassicaulis,Sanicula crassicaulis,
Scutellaria siphoncampyloides,Scutellaria siphocampyloides,
Senecio eurycephalus,Senecio eurycephalus,
Senecio vulgaris,Senecio vulgaris,
Sidalcea diploscypha,Sidalcea diploscypha,
Silene gallica,Silene gallica,
Sisymbrium officinale,Sisymbrium officinale,
Sisyrinchium bellum,Sisyrinchium bellum,
Sonchus asper,Missing Core_Community_Data,Merge with Lactuca serriola
Sonchus oleraceus,Missing Core_Community_Data,Merge with Lactuca serriola
Stellaria media,Stellaria media,
Stellaria nitens,Stellaria nitens,
Stephanomeria sp.,Stephanomeria sp.,
Streptanthus breweri,Streptanthus breweri,
Taeniatherum caput-medusae,Taeniatherum caput-medusae,
Thermopsis macrophylla,Thermopsis macrophylla,
Thysanocarpus,Missing Core_Community_Data,Change to Thysanocarpus curvipes
Thysanocarpus curvipes,Thysanocarpus curvipes,
Torilis,Missing Core_Community_Data,Genus
Torilis arvensis,Torilis arvensis,
Torilis nodosa,Torilis nodosa,
Tragopogon dubius,Tragopogon dubius,
Trichostema laxum,Trichostema laxum,
Trifolium,Missing Core_Community_Data,Genus
Trifolium albopurpureum,Trifolium albopurpureum,
Trifolium bifidum,Trifolium bifidum,
Trifolium ciliolatum,Trifolium ciliolatum,
Trifolium depauperatum,Trifolium depauperatum,
Trifolium dubium,Trifolium dubium,
Trifolium fucatum,Trifolium fucatum,
Trifolium gracilentum,Trifolium gracilentum,
Trifolium hirtum,Trifolium hirtum,
Trifolium microcephalum,Trifolium microcephalum,
Trifolium microdon,Trifolium microdon,
Trifolium obtusiflorum,Trifolium obtusiflorum,
Trifolium sp.,Missing Core_Community_Data,Genus
Trifolium variegatum,Trifolium variegatum,
Trifolium willdenovii,Trifolium willdenovii,
Triphysaria eriantha,Triphysaria eriantha,
Triphysaria versicolor,Triphysaria versicolor,
Triteleia hyacinthina,Triteleia hyacinthina,
Triteleia laxa,Triteleia laxa,
Triteleia sp.,Unknown forb,
Unknown,Missing Core_Community_Data,Unknown
Unknown grass,Unknown grass,
Uropappus lindleyi,Uropappus lindleyi,
Velezia rigida,Velezia rigida,
Vicia villosa,Vicia villosa,
Viola douglasii,Viola douglasii,
Vulpia bromoides,Vulpia bromoides,
Vulpia microstachys,Vulpia microstachys,
Vulpia myuros,Vulpia myuros,
Vulpia octoflora,Vulpia octoflora,
Vulpia sp.,Missing Core_Community_Data,Genus
Wyethia glabra,Wyethia glabra,
Zigadenus fremontii,Zigadenus fremontii,
